snr1_db,metric1,snr2_db,metric2,amp
0.251790,1.30010450e+00,-0.634482,3.58171058e+00,0.8
0.251790,1.30010450e+00,-5.236389,1.16548586e+00,0.8
-3.398835,1.19191730e+00,-4.137532,1.80995345e+00,0.8
-3.398835,1.19191730e+00,-1.158204,2.27976656e+00,0.8
-25.125580,3.44078302e+00,-6.870537,7.27609205e+00,0.8
-5.208815,1.39881837e+00,-12.887589,1.28488052e+00,0.8
-8.002184,1.19551647e+00,0.768076,1.95299876e+00,0.8
-0.912766,2.63112378e+00,-0.015692,1.52412915e+00,0.8
-1.378897,1.74759519e+00,1.618312,1.46760821e+00,0.8
-11.226140,1.69833207e+00,-3.582891,2.85088778e+00,0.8
3.517892,8.65007639e-01,-1.690281,4.60863161e+00,0.8
-22.943251,5.96100855e+00,-8.735787,1.99141324e+00,0.8
-22.943251,5.96100855e+00,1.377363,3.30250573e+00,0.8
-22.943251,5.96100855e+00,-3.467524,1.04776168e+00,0.8
-22.943251,5.96100855e+00,-15.261756,1.25983393e+00,0.8
-1.677640,3.15307355e+00,-1.902594,3.11600161e+00,0.8
-1.650739,2.06088257e+00,-5.496306,1.72623158e+00,0.8
-0.851706,2.06896973e+00,-6.189099,1.74382734e+00,0.8
-21.528139,2.13570642e+00,-13.386835,1.69401407e+00,0.8
-21.528139,2.13570642e+00,-12.028831,4.29060316e+00,0.8
-7.636053,1.42653251e+00,-8.218168,3.17956209e+00,0.8
-7.636053,1.42653251e+00,-6.640702,1.75767410e+00,0.8
-7.636053,1.42653251e+00,-8.838317,1.65390432e+00,0.8
-0.608949,2.49750638e+00,-4.060967,3.73798060e+00,0.8
-0.608949,2.49750638e+00,-13.067078,3.03729486e+00,0.8
-4.143365,1.13868117e+00,-0.550830,1.32701957e+00,0.8
-4.143365,1.13868117e+00,-1.071316,1.29531980e+00,0.8
-6.234358,3.14605737e+00,-21.138283,1.89196730e+00,0.8
-6.696490,2.14607716e+00,-3.908750,1.25466025e+00,0.8
-13.171101,3.58585191e+00,-5.158731,1.91266453e+00,0.8
0.957796,3.59190249e+00,-11.338088,1.86686897e+00,0.8
-9.530879,2.18242908e+00,-5.622961,4.26845837e+00,0.8
-10.637526,5.70109272e+00,-3.137686,3.08632898e+00,0.8
-0.627518,4.86715269e+00,-4.601751,4.02230406e+00,0.8
-5.931329,3.22921133e+00,-5.301091,2.28162026e+00,0.7
-2.553723,2.17817760e+00,-7.734656,2.31287551e+00,0.7
-1.791321,2.36456895e+00,-10.828052,1.75229096e+00,0.7
-1.791321,2.36456895e+00,-4.282048,4.14354372e+00,0.7
-1.962842,1.16936517e+00,-3.038757,4.86538029e+00,0.7
-6.679532,4.05033159e+00,-4.248570,1.75685596e+00,0.7
-6.679532,4.05033159e+00,-2.159913,2.15040278e+00,0.7
-6.679532,4.05033159e+00,-3.365734,2.89411998e+00,0.7
0.787057,4.35547638e+00,-0.704036,2.17970610e+00,0.7
0.775683,1.62237453e+00,-17.715963,1.78506112e+00,0.7
0.775683,1.62237453e+00,-7.063496,1.41604674e+00,0.7
0.959228,3.61261415e+00,-9.190664,3.07336473e+00,0.7
-9.337434,1.21566367e+00,-6.344719,2.52964187e+00,0.7
-9.337434,1.21566367e+00,-4.319438,4.23917723e+00,0.7
-9.337434,1.21566367e+00,-10.021830,2.18211985e+00,0.7
-9.337434,1.21566367e+00,-0.500933,2.93282700e+00,0.7
-9.337434,1.21566367e+00,-16.480947,1.27438188e+00,0.7
-1.209326,3.84281278e+00,-6.927178,3.43902254e+00,0.7
-1.209326,3.84281278e+00,-2.259309,1.53599656e+00,0.7
-11.031938,1.95500219e+00,-5.484370,1.40121853e+00,0.7
-11.031938,1.95500219e+00,-9.702280,1.88343775e+00,0.7
-11.031938,1.95500219e+00,-2.009092,3.30291581e+00,0.7
-11.031938,1.95500219e+00,-10.056684,1.68058622e+00,0.7
-11.031938,1.95500219e+00,-7.894319,1.21346128e+00,0.7
1.822697,3.96504498e+00,-13.597447,1.42292476e+00,0.7
-3.926722,1.40838158e+00,-4.718875,1.45444417e+00,0.7
-2.118512,1.71646667e+00,-5.145460,1.71249568e+00,0.7
0.306298,1.34816849e+00,-17.488922,2.75519276e+00,0.7
-6.208924,1.14270544e+00,-9.153087,1.72734523e+00,0.7
-1.498733,2.99358439e+00,-9.579229,2.52895546e+00,0.7
-1.498733,2.99358439e+00,-7.639369,3.51755118e+00,0.7
-1.498733,2.99358439e+00,-2.993957,3.66685605e+00,0.7
-1.498733,2.99358439e+00,-4.564240,6.54842091e+00,0.7
0.249580,1.70631087e+00,-8.210743,4.55817413e+00,0.7
-5.989333,1.82650971e+00,-7.278190,2.95334125e+00,0.7
-1.340952,1.40234685e+00,-12.605202,2.45153260e+00,0.7
-9.797513,1.45883787e+00,1.113635,2.47022200e+00,0.7
-14.378864,9.82388616e-01,-12.247404,1.19318593e+00,0.7
-14.378864,9.82388616e-01,-6.564230,1.76102614e+00,0.7
-19.288475,4.00407982e+00,-9.177990,1.45056653e+00,0.7
0.001428,1.31532645e+00,2.885829,3.81517696e+00,0.7
0.001428,1.31532645e+00,-1.371550,1.35445046e+00,0.7
-4.046104,1.18236554e+00,-13.615399,8.72875154e-01,0.7
-4.046104,1.18236554e+00,-4.373225,2.78093386e+00,0.7
-2.394928,1.40286744e+00,-0.047808,3.25826311e+00,0.7
-8.619718,1.57785666e+00,-3.448719,1.67369258e+00,0.7
-0.904312,2.66821241e+00,-11.819500,2.13392949e+00,0.7
-2.087164,1.79346538e+00,-10.407769,1.96869898e+00,0.7
-13.184187,1.68352795e+00,-4.433845,1.37103724e+00,0.7
3.598267,8.53113174e-01,-4.158118,1.69258869e+00,0.7
-21.542227,6.30133963e+00,-5.779954,1.77048182e+00,0.7
-13.224062,2.16399789e+00,-14.852139,1.40406144e+00,0.7
-13.224062,2.16399789e+00,-1.169870,3.72268939e+00,0.7
-6.391989,1.42234290e+00,-13.454250,2.68817210e+00,0.6
-1.491522,2.02392745e+00,-1.381000,8.22915733e-01,0.6
-1.150862,2.28177667e+00,-13.159264,3.02412677e+00,0.6
-1.150862,2.28177667e+00,-2.308243,2.18278289e+00,0.6
-1.150862,2.28177667e+00,-2.648779,4.83237886e+00,0.6
3.403494,2.13939619e+00,-3.351525,1.53727329e+00,0.6
-4.570132,2.48174930e+00,-3.313195,3.53309321e+00,0.6
-4.570132,2.48174930e+00,0.089584,2.26704359e+00,0.6
